word,pos,meaning,example,frequency,source_rank,other_spellings,source_dataset,redbook_page,redbook_index
no,,否定,,2321,81,,exam-data/NETEMVocabulary,,
so,,因此,,2281,82,,exam-data/NETEMVocabulary,,
get,,得到,,2258,83,,exam-data/NETEMVocabulary,,
two,,二,,2241,84,,exam-data/NETEMVocabulary,,
student,,学生,,2205,85,,exam-data/NETEMVocabulary,,
our,,我们的,,2178,86,,exam-data/NETEMVocabulary,,
out,,出去、外面,,2168,87,,exam-data/NETEMVocabulary,,
just,,只、仅仅,,2152,88,,exam-data/NETEMVocabulary,,
child,,孩子,,2149,89,,exam-data/NETEMVocabulary,,
how,,如何,,2125,90,,exam-data/NETEMVocabulary,,
find,,发现,,2070,91,,exam-data/NETEMVocabulary,,
way,,方式,,2033,92,,exam-data/NETEMVocabulary,,
into,,进入内部,,2016,93,,exam-data/NETEMVocabulary,,
because,,因为,,1932,94,,exam-data/NETEMVocabulary,,
sheet,,被单、（一）张、纸,,1929,95,,exam-data/NETEMVocabulary,,
man,,男人,,1925,96,,exam-data/NETEMVocabulary,,
like,,喜欢、像,,1918,97,,exam-data/NETEMVocabulary,,
through,,通过、穿过,,1912,98,,exam-data/NETEMVocabulary,,
woman,,女人,,1908,99,,exam-data/NETEMVocabulary,,
school,,学校,,1862,100,,exam-data/NETEMVocabulary,,
think,,认为,,1845,101,,exam-data/NETEMVocabulary,,
world,,世界,,1842,102,,exam-data/NETEMVocabulary,,
choice,,选择,,1823,103,,exam-data/NETEMVocabulary,,
change,,改变,,1810,104,,exam-data/NETEMVocabulary,,
direction,,方向、指令,,1778,105,,exam-data/NETEMVocabulary,,
much,,许多的、非常,,1727,106,,exam-data/NETEMVocabulary,,
life,,生命、人生,,1722,107,,exam-data/NETEMVocabulary,,
long,,长,,1714,108,,exam-data/NETEMVocabulary,,
study,,学习,,1669,109,,exam-data/NETEMVocabulary,,
need,,需要,,1667,110,,exam-data/NETEMVocabulary,,
first,,第一,,1659,111,,exam-data/NETEMVocabulary,,
help,,帮助,,1637,112,,exam-data/NETEMVocabulary,,
four,,四,,1617,113,,exam-data/NETEMVocabulary,,
job,,工作,,1606,114,,exam-data/NETEMVocabulary,,
learn,,学习、了解,,1597,115,,exam-data/NETEMVocabulary,,
high,,高的、高,,1585,116,,exam-data/NETEMVocabulary,,
now,,现在,,1575,117,,exam-data/NETEMVocabulary,,
good,,好的、货物,,1571,118,,exam-data/NETEMVocabulary,,
over,,在…上方、结束,,1554,119,,exam-data/NETEMVocabulary,,
then,,然后,,1539,120,,exam-data/NETEMVocabulary,,
minute,,分钟、微小的,,1538,121,,exam-data/NETEMVocabulary,,
after,,在…之后,,1528,122,,exam-data/NETEMVocabulary,,
live,,住、生活,,1524,123,,exam-data/NETEMVocabulary,,
know,,知道,,1511,124,,exam-data/NETEMVocabulary,,
line,,排队、线,,1511,125,,exam-data/NETEMVocabulary,,
these,,这些、这些人,,1504,126,,exam-data/NETEMVocabulary,,
become,,成为、适宜,,1500,127,,exam-data/NETEMVocabulary,,
author,,作者,,1492,128,,exam-data/NETEMVocabulary,,
could,,能够,,1479,129,,exam-data/NETEMVocabulary,,
even,,甚至,,1465,130,,exam-data/NETEMVocabulary,,
also,,也,,1446,131,,exam-data/NETEMVocabulary,,
come,,来,,1430,132,,exam-data/NETEMVocabulary,,
such,,这样的,,1424,133,,exam-data/NETEMVocabulary,,
mean,,意思是、意味着,,1424,134,,exam-data/NETEMVocabulary,,
letter,,信件,,1422,135,,exam-data/NETEMVocabulary,,
see,,看,,1402,136,,exam-data/NETEMVocabulary,,
three,,三,,1345,137,,exam-data/NETEMVocabulary,,
those,,那些,,1332,138,,exam-data/NETEMVocabulary,,
end,,结束,,1303,139,,exam-data/NETEMVocabulary,,
once,,曾经、一次,,1271,140,,exam-data/NETEMVocabulary,,
company,,公司、陪伴,,1267,141,,exam-data/NETEMVocabulary,,
conversation,,对话,,1254,142,converzation,exam-data/NETEMVocabulary,,
problem,,问题,,1246,143,,exam-data/NETEMVocabulary,,
university,,大学,,1246,144,,exam-data/NETEMVocabulary,,
human,,人,,1245,145,,exam-data/NETEMVocabulary,,
state,,陈述、状态,,1234,146,,exam-data/NETEMVocabulary,,
want,,想要,,1234,147,,exam-data/NETEMVocabulary,,
must,,必须,,1218,148,,exam-data/NETEMVocabulary,,
food,,食物,,1217,149,,exam-data/NETEMVocabulary,,
country,,国家,,1204,150,,exam-data/NETEMVocabulary,,
choose,,选择,,1201,151,,exam-data/NETEMVocabulary,,
any,,任何,,1199,152,,exam-data/NETEMVocabulary,,
my,,我的,,1197,153,,exam-data/NETEMVocabulary,,
day,,日子,,1194,154,,exam-data/NETEMVocabulary,,
less,,更少,,1190,155,,exam-data/NETEMVocabulary,,
accord,,协议、符合,,1184,156,,exam-data/NETEMVocabulary,,
show,,展示、展现,,1177,157,,exam-data/NETEMVocabulary,,
both,,两者,,1172,158,,exam-data/NETEMVocabulary,,
social,,社会的、交际的,,1170,159,,exam-data/NETEMVocabulary,,
very,,非常,,1167,160,,exam-data/NETEMVocabulary,,
great,,巨大的,,1166,161,,exam-data/NETEMVocabulary,,
thing,,事情,,1151,162,,exam-data/NETEMVocabulary,,
information,,信息,,1146,163,,exam-data/NETEMVocabulary,,
look,,看,,1145,164,,exam-data/NETEMVocabulary,,
too,,太…、也,,1138,165,,exam-data/NETEMVocabulary,,
business,,商业,,1128,166,,exam-data/NETEMVocabulary,,
between,,在…之间,,1116,167,,exam-data/NETEMVocabulary,,
research,,研究,,1115,168,,exam-data/NETEMVocabulary,,
before,,在…之前,,1103,169,,exam-data/NETEMVocabulary,,
number,,数字,,1090,170,,exam-data/NETEMVocabulary,,
single,,单一的,,1084,171,,exam-data/NETEMVocabulary,,
own,,拥有,,1078,172,,exam-data/NETEMVocabulary,,
feel,,感觉,,1077,173,,exam-data/NETEMVocabulary,,
family,,家庭,,1070,174,,exam-data/NETEMVocabulary,,
often,,经常,,1047,175,,exam-data/NETEMVocabulary,,
old,,老的,,1044,176,,exam-data/NETEMVocabulary,,
parent,,父母,,1044,177,,exam-data/NETEMVocabulary,,
increase,,增加,,1040,178,,exam-data/NETEMVocabulary,,
paragraph,,段落,,1031,179,,exam-data/NETEMVocabulary,,
provide,,提供,,1013,180,,exam-data/NETEMVocabulary,,
few,,很少,,1011,181,,exam-data/NETEMVocabulary,,
home,,家,,1009,182,,exam-data/NETEMVocabulary,,
while,,当…时、而、尽管,,1003,183,,exam-data/NETEMVocabulary,,
different,,不同的,,994,184,,exam-data/NETEMVocabulary,,
point,,点、指,,982,185,,exam-data/NETEMVocabulary,,
last,,最后的、持续,,982,186,,exam-data/NETEMVocabulary,,
text,,文本,,975,187,,exam-data/NETEMVocabulary,,
correspond,,相符合、相当,,968,188,,exam-data/NETEMVocabulary,,
education,,教育,,958,189,,exam-data/NETEMVocabulary,,
place,,放置、地点,,943,190,,exam-data/NETEMVocabulary,,
pay,,支付,,934,191,,exam-data/NETEMVocabulary,,
language,,语言、风格,,928,192,,exam-data/NETEMVocabulary,,
still,,仍然,,926,193,,exam-data/NETEMVocabulary,,
keep,,保持,,919,194,,exam-data/NETEMVocabulary,,
where,,哪里,,899,195,,exam-data/NETEMVocabulary,,
book,,预定、书籍,,898,196,,exam-data/NETEMVocabulary,,
government,,政府,,890,197,,exam-data/NETEMVocabulary,,
college,,大学,,885,198,,exam-data/NETEMVocabulary,,
second,,第二的、次等的,,885,199,,exam-data/NETEMVocabulary,,
listen,,听,,883,200,,exam-data/NETEMVocabulary,,
why,,为什么,,880,201,,exam-data/NETEMVocabulary,,
system,,系统,,878,202,,exam-data/NETEMVocabulary,,
put,,放,,867,203,,exam-data/NETEMVocabulary,,
blank,,空白的、失色的,,866,204,,exam-data/NETEMVocabulary,,
might,,可能,,847,205,,exam-data/NETEMVocabulary,,
result,,结果,,846,206,,exam-data/NETEMVocabulary,,
try,,尝试,,846,207,,exam-data/NETEMVocabulary,,
money,,钱,,841,208,,exam-data/NETEMVocabulary,,
ask,,问,,839,209,,exam-data/NETEMVocabulary,,
seem,,似乎,,833,210,,exam-data/NETEMVocabulary,,
speak,,说,,832,211,,exam-data/NETEMVocabulary,,
news,,新闻,,830,212,,exam-data/NETEMVocabulary,,
example,,例子,,822,213,,exam-data/NETEMVocabulary,,
same,,同样的,,820,214,,exam-data/NETEMVocabulary,,
important,,重要的,,816,215,,exam-data/NETEMVocabulary,,
right,,正确的、权利,,813,216,,exam-data/NETEMVocabulary,,
report,,报告,,810,217,,exam-data/NETEMVocabulary,,
believe,,相信,,806,218,,exam-data/NETEMVocabulary,,
computer,,电脑,,801,219,,exam-data/NETEMVocabulary,,
public,,公众的,,800,220,,exam-data/NETEMVocabulary,,
health,,健康,,796,221,,exam-data/NETEMVocabulary,,
far,,远的,,794,222,,exam-data/NETEMVocabulary,,
young,,年轻的,,793,223,,exam-data/NETEMVocabulary,,
large,,大的,,790,224,,exam-data/NETEMVocabulary,,
call,,打电话,,790,225,,exam-data/NETEMVocabulary,,
city,,城市,,789,226,,exam-data/NETEMVocabulary,,
develop,,发展,,788,227,,exam-data/NETEMVocabulary,,
start,,开始,,786,228,,exam-data/NETEMVocabulary,,
another,,另一个,,782,229,,exam-data/NETEMVocabulary,,
centre,,中心、中央,,782,230,center,exam-data/NETEMVocabulary,,
idea,,想法,,780,231,,exam-data/NETEMVocabulary,,
during,,在…期间,,780,232,,exam-data/NETEMVocabulary,,
science,,科学,,773,233,,exam-data/NETEMVocabulary,,
allow,,允许,,773,234,,exam-data/NETEMVocabulary,,
age,,年龄,,771,235,,exam-data/NETEMVocabulary,,
leave,,离开,,769,236,,exam-data/NETEMVocabulary,,
every,,每个,,769,237,,exam-data/NETEMVocabulary,,
talk,,说,,768,238,,exam-data/NETEMVocabulary,,
require,,需要、要求,,767,239,,exam-data/NETEMVocabulary,,
car,,车,,765,240,,exam-data/NETEMVocabulary,,
statement,,声明,,764,241,,exam-data/NETEMVocabulary,,
society,,社会,,761,242,,exam-data/NETEMVocabulary,,
short,,短,,756,243,,exam-data/NETEMVocabulary,,
cause,,造成,,754,244,,exam-data/NETEMVocabulary,,
down,,在…下面、情绪低落,,748,245,,exam-data/NETEMVocabulary,,
technology,,技术、工艺,,746,246,,exam-data/NETEMVocabulary,,
grow,,成长、增长,,734,247,,exam-data/NETEMVocabulary,,
sentence,,句子、判决,,732,248,,exam-data/NETEMVocabulary,,
without,,没有,,731,249,,exam-data/NETEMVocabulary,,
hour,,小时,,728,250,,exam-data/NETEMVocabulary,,
back,,背面、后退,,721,251,,exam-data/NETEMVocabulary,,
economic,,经济上的,,715,252,,exam-data/NETEMVocabulary,,
big,,大,,713,253,,exam-data/NETEMVocabulary,,
begin,,开始,,707,254,,exam-data/NETEMVocabulary,,
lead,,带领,,707,255,,exam-data/NETEMVocabulary,,
build,,建造,,706,256,,exam-data/NETEMVocabulary,,
early,,早期的,,704,257,,exam-data/NETEMVocabulary,,
off,,关闭、不在原处,,700,258,,exam-data/NETEMVocabulary,,
spend,,花,,689,259,,exam-data/NETEMVocabulary,,
little,,少、小,,688,260,,exam-data/NETEMVocabulary,,
bank,,银行,,687,261,,exam-data/NETEMVocabulary,,
hard,,困难的,,686,262,,exam-data/NETEMVocabulary,,
cost,,花费,,682,263,,exam-data/NETEMVocabulary,,
class,,班级,,682,264,,exam-data/NETEMVocabulary,,
group,,小组,,681,265,,exam-data/NETEMVocabulary,,
price,,价格,,677,266,,exam-data/NETEMVocabulary,,
effect,,效果,,676,267,,exam-data/NETEMVocabulary,,
comprehension,,理解,,673,268,,exam-data/NETEMVocabulary,,
today,,在今天、现今,,672,269,,exam-data/NETEMVocabulary,,
tell,,告诉,,671,270,,exam-data/NETEMVocabulary,,
set,,设定,,665,271,,exam-data/NETEMVocabulary,,
something,,某事,,662,272,,exam-data/NETEMVocabulary,,
play,,玩、扮演、戏剧,,660,273,,exam-data/NETEMVocabulary,,
likely,,很可能的、大概,,659,274,,exam-data/NETEMVocabulary,,
turn,,翻转,,658,275,,exam-data/NETEMVocabulary,,
course,,课程,,657,276,corse,exam-data/NETEMVocabulary,,
buy,,购买,,656,277,,exam-data/NETEMVocabulary,,
understand,,理解,,655,278,,exam-data/NETEMVocabulary,,
offer,,提供,,649,279,,exam-data/NETEMVocabulary,,
service,,服务、公共设施,,648,280,,exam-data/NETEMVocabulary,,
small,,小的,,647,281,,exam-data/NETEMVocabulary,,
product,,产品,,644,282,,exam-data/NETEMVocabulary,,
experience,,经历,,639,283,,exam-data/NETEMVocabulary,,
suggest,,建议,,637,284,,exam-data/NETEMVocabulary,,
decide,,决定,,632,285,,exam-data/NETEMVocabulary,,
test,,测试,,627,286,,exam-data/NETEMVocabulary,,
scientist,,科学家,,625,287,,exam-data/NETEMVocabulary,,
bring,,带来,,623,288,,exam-data/NETEMVocabulary,,
since,,自从、因为、既然,,622,289,,exam-data/NETEMVocabulary,,
however,,但是、然而,,621,290,,exam-data/NETEMVocabulary,,
person,,人,,620,291,,exam-data/NETEMVocabulary,,
teacher,,教师,,619,292,,exam-data/NETEMVocabulary,,
around,,周围、环绕,,617,293,,exam-data/NETEMVocabulary,,
whether,,是否,,615,294,,exam-data/NETEMVocabulary,,
future,,未来,,613,295,,exam-data/NETEMVocabulary,,
reason,,理由,,611,296,,exam-data/NETEMVocabulary,,
view,,景观,,610,297,,exam-data/NETEMVocabulary,,
water,,水,,610,298,,exam-data/NETEMVocabulary,,
improve,,改进、提高,,608,299,,exam-data/NETEMVocabulary,,
care,,关心、在意,,607,300,,exam-data/NETEMVocabulary,,
benefit,,益处、好处,,604,301,,exam-data/NETEMVocabulary,,
low,,低的,,604,302,,exam-data/NETEMVocabulary,,
program,,项目,,603,303,programme,exam-data/NETEMVocabulary,,
worker,,工人,,601,304,,exam-data/NETEMVocabulary,,
market,,市场,,600,305,,exam-data/NETEMVocabulary,,
teach,,教,,598,306,,exam-data/NETEMVocabulary,,
support,,支持,,596,307,,exam-data/NETEMVocabulary,,
among,,在……之中,,594,308,,exam-data/NETEMVocabulary,,
kind,,仁慈的、种类,,593,309,,exam-data/NETEMVocabulary,,
friend,,朋友,,589,310,,exam-data/NETEMVocabulary,,
skill,,技术,,588,311,,exam-data/NETEMVocabulary,,
yet,,然而,,587,312,,exam-data/NETEMVocabulary,,
form,,形式、形成,,585,313,,exam-data/NETEMVocabulary,,
include,,包括,,582,314,,exam-data/NETEMVocabulary,,
move,,移动,,582,315,,exam-data/NETEMVocabulary,,
rather,,相当的,,581,316,,exam-data/NETEMVocabulary,,
create,,创造,,581,317,,exam-data/NETEMVocabulary,,
never,,从不,,581,318,,exam-data/NETEMVocabulary,,
century,,世纪,,577,319,,exam-data/NETEMVocabulary,,
bad,,坏的,,575,320,,exam-data/NETEMVocabulary,,
eat,,吃,,571,321,,exam-data/NETEMVocabulary,,
always,,总是,,570,322,,exam-data/NETEMVocabulary,,
least,,最小的、最少的,,570,323,,exam-data/NETEMVocabulary,,
face,,面对,,567,324,,exam-data/NETEMVocabulary,,
plan,,计划,,564,325,,exam-data/NETEMVocabulary,,
consider,,考虑,,560,326,,exam-data/NETEMVocabulary,,
industry,,工业、行业,,559,327,,exam-data/NETEMVocabulary,,
themselves,,他们自己、他们亲自,,556,328,,exam-data/NETEMVocabulary,,
process,,过程、进程,,554,329,,exam-data/NETEMVocabulary,,
rate,,比率,,553,330,,exam-data/NETEMVocabulary,,
fact,,事实,,551,331,,exam-data/NETEMVocabulary,,
house,,房子,,550,332,,exam-data/NETEMVocabulary,,
culture,,文化,,549,333,,exam-data/NETEMVocabulary,,
power,,力、功率,,547,334,,exam-data/NETEMVocabulary,,
share,,分享,,545,335,,exam-data/NETEMVocabulary,,
area,,地区、范围,,542,336,,exam-data/NETEMVocabulary,,
million,,百万,,540,337,,exam-data/NETEMVocabulary,,
lot,,很、许多,,536,338,,exam-data/NETEMVocabulary,,
sense,,感觉,,535,339,,exam-data/NETEMVocabulary,,
lose,,失去、失败,,530,340,,exam-data/NETEMVocabulary,,
against,,相对、相反,,528,341,,exam-data/NETEMVocabulary,,
rise,,上升,,528,342,rize,exam-data/NETEMVocabulary,,
energy,,精力,,526,343,,exam-data/NETEMVocabulary,,
control,,控制,,524,344,,exam-data/NETEMVocabulary,,
space,,空间,,523,345,,exam-data/NETEMVocabulary,,
case,,情况,,521,346,,exam-data/NETEMVocabulary,,
hold,,握着、坚持,,518,347,,exam-data/NETEMVocabulary,,
possible,,可能的,,518,348,,exam-data/NETEMVocabulary,,
ability,,能力,,514,349,,exam-data/NETEMVocabulary,,
animal,,动物,,511,350,,exam-data/NETEMVocabulary,,
enough,,足够,,511,351,,exam-data/NETEMVocabulary,,
value,,价值,,510,352,,exam-data/NETEMVocabulary,,
role,,角色,,507,353,,exam-data/NETEMVocabulary,,
week,,周末,,505,354,,exam-data/NETEMVocabulary,,
individual,,个人的、独特的,,503,355,,exam-data/NETEMVocabulary,,
hand,,手,,502,356,,exam-data/NETEMVocabulary,,
open,,打开,,501,357,,exam-data/NETEMVocabulary,,
ten,,十,,500,358,,exam-data/NETEMVocabulary,,
term,,条款、期限,,497,359,,exam-data/NETEMVocabulary,,
away,,离开,,496,360,,exam-data/NETEMVocabulary,,
happen,,发生,,493,361,,exam-data/NETEMVocabulary,,
fall,,下降、掉落,,492,362,,exam-data/NETEMVocabulary,,
self,,自我、自己,,491,363,,exam-data/NETEMVocabulary,,
art,,艺术,,491,364,,exam-data/NETEMVocabulary,,
decision,,决定、决议,,490,365,,exam-data/NETEMVocabulary,,
interest,,兴趣,,490,366,,exam-data/NETEMVocabulary,,
drive,,驾驶、驱使,,490,367,,exam-data/NETEMVocabulary,,
issue,,问题、期刊、发布,,489,368,,exam-data/NETEMVocabulary,,
produce,,生产,,489,369,,exam-data/NETEMVocabulary,,
complete,,完全地,,488,370,,exam-data/NETEMVocabulary,,
under,,在…之下,,487,371,,exam-data/NETEMVocabulary,,
activity,,活跃、活动,,485,372,,exam-data/NETEMVocabulary,,
national,,国家的,,481,373,,exam-data/NETEMVocabulary,,
brain,,大脑,,481,374,,exam-data/NETEMVocabulary,,
level,,水平、等级,,481,375,,exam-data/NETEMVocabulary,,
able,,有能力的,,479,376,,exam-data/NETEMVocabulary,,
run,,跑步、运转,,477,377,,exam-data/NETEMVocabulary,,
past,,过去的,,476,378,,exam-data/NETEMVocabulary,,
win,,赢,,476,379,,exam-data/NETEMVocabulary,,
present,,呈现、提出、礼物、现在,,474,380,,exam-data/NETEMVocabulary,,
quality,,质量,,474,381,,exam-data/NETEMVocabulary,,
difficult,,困难的,,473,382,,exam-data/NETEMVocabulary,,
easy,,容易的,,470,383,,exam-data/NETEMVocabulary,,
tend,,趋向于、照料,,469,384,,exam-data/NETEMVocabulary,,
reduce,,减少,,469,385,,exam-data/NETEMVocabulary,,
five,,五,,467,386,,exam-data/NETEMVocabulary,,
expect,,预料、期待,,463,387,,exam-data/NETEMVocabulary,,
order,,订单、命令、顺序,,462,388,,exam-data/NETEMVocabulary,,
law,,法律、法则,,459,389,,exam-data/NETEMVocabulary,,
environment,,环境、自然环境,,459,390,,exam-data/NETEMVocabulary,,
paper,,纸、试卷,,458,391,,exam-data/NETEMVocabulary,,
mind,,思维、想法,,457,392,,exam-data/NETEMVocabulary,,
kid,,孩子,,457,393,,exam-data/NETEMVocabulary,,
economy,,经济,,454,394,,exam-data/NETEMVocabulary,,
percent,,百分之的,,454,395,,exam-data/NETEMVocabulary,,
sleep,,睡眠,,454,396,,exam-data/NETEMVocabulary,,
recent,,近来的,,453,397,,exam-data/NETEMVocabulary,,
half,,一半,,450,398,,exam-data/NETEMVocabulary,,
close,,关闭、近,,448,399,,exam-data/NETEMVocabulary,,
attention,,注意,,445,400,,exam-data/NETEMVocabulary,,
poor,,贫穷的、可怜的、糟糕的,,445,401,,exam-data/NETEMVocabulary,,
free,,自由的,,445,402,,exam-data/NETEMVocabulary,,
body,,身体,,442,403,,exam-data/NETEMVocabulary,,
measure,,衡量、测量,,441,404,,exam-data/NETEMVocabulary,,
office,,办公室,,441,405,,exam-data/NETEMVocabulary,,
travel,,旅行,,441,406,,exam-data/NETEMVocabulary,,
major,,主要的,,440,407,,exam-data/NETEMVocabulary,,
professor,,教授,,440,408,,exam-data/NETEMVocabulary,,
natural,,自然的,,439,409,,exam-data/NETEMVocabulary,,
remain,,保持,,438,410,,exam-data/NETEMVocabulary,,
though,,尽管,,435,411,,exam-data/NETEMVocabulary,,
next,,下一个,,434,412,,exam-data/NETEMVocabulary,,
design,,设计,,430,413,,exam-data/NETEMVocabulary,,
history,,历史,,429,414,,exam-data/NETEMVocabulary,,
nation,,国家,,428,415,,exam-data/NETEMVocabulary,,
real,,真的,,426,416,,exam-data/NETEMVocabulary,,
almost,,几乎,,425,417,,exam-data/NETEMVocabulary,,
customer,,顾客,,424,418,,exam-data/NETEMVocabulary,,
subject,,科目,,424,419,,exam-data/NETEMVocabulary,,
ago,,以前,,422,420,,exam-data/NETEMVocabulary,,
focus,,聚焦、焦点,,419,421,,exam-data/NETEMVocabulary,,
local,,当地的,,419,422,,exam-data/NETEMVocabulary,,
really,,确实,,418,423,,exam-data/NETEMVocabulary,,
certain,,确定的,,417,424,,exam-data/NETEMVocabulary,,
ever,,从来,,417,425,,exam-data/NETEMVocabulary,,
success,,成功,,417,426,,exam-data/NETEMVocabulary,,
late,,晚的,,416,427,,exam-data/NETEMVocabulary,,
true,,真实,,414,428,,exam-data/NETEMVocabulary,,
name,,名称、命名,,412,429,,exam-data/NETEMVocabulary,,
knowledge,,知识,,412,430,,exam-data/NETEMVocabulary,,
stress,,压力,,411,431,,exam-data/NETEMVocabulary,,
matter,,事情、问题、重要,,411,432,,exam-data/NETEMVocabulary,,
involve,,涉及,,410,433,,exam-data/NETEMVocabulary,,
raise,,举起、提出,,410,434,raize,exam-data/NETEMVocabulary,,
identify,,识别、鉴定,,410,435,,exam-data/NETEMVocabulary,,
stay,,保持、停留,,404,436,,exam-data/NETEMVocabulary,,
population,,人口,,402,437,,exam-data/NETEMVocabulary,,
risk,,风险,,402,438,,exam-data/NETEMVocabulary,,
medium,,中等的、媒介,,401,439,,exam-data/NETEMVocabulary,,
lack,,缺乏,,400,440,,exam-data/NETEMVocabulary,,
strong,,强壮的、强烈的,,400,441,,exam-data/NETEMVocabulary,,
fill,,填,,400,442,,exam-data/NETEMVocabulary,,
patient,,有耐心的、病人,,399,443,,exam-data/NETEMVocabulary,,
rule,,规则,,397,444,,exam-data/NETEMVocabulary,,
until,,直到,,397,445,,exam-data/NETEMVocabulary,,
continue,,继续,,396,446,,exam-data/NETEMVocabulary,,
receive,,收到,,396,447,,exam-data/NETEMVocabulary,,
already,,已经,,395,448,,exam-data/NETEMVocabulary,,
